Paises;Casos;Poblacion;Tasa_Casos;Death;Tasa_Muerte;t_med;t_max;t_min;presion;ha;hr;vel;p_rocio
Panama;1181.00;4314768.00;27.37111242134;30.00;0.70;87.14;95.73;72.58;1011.15;0.16;0.50;19.37;66.56
Papua New Guinea;1.00;8947027.00;0.01117689709;0.00;0.00;81.45;89.46;75.43;1008.20;0.25;0.85;7.07;76.46
Paraguay;65.00;7132530.00;0.91131758296;3.00;0.04;83.01;96.82;70.02;1009.67;0.16;0.54;4.25;64.29
Peru;1065.00;32971846.00;3.23002843092;30.00;0.09;80.78;87.44;74.22;1010.16;0.23;0.80;3.53;74.14
Philippines;2084.00;109581085.00;1.90178806863;88.00;0.08;79.71;85.31;75.30;1012.73;0.23;0.80;35.11;73.21
Qatar;781.00;2881060.00;27.10807827675;2.00;0.07;72.17;84.42;61.36;1013.39;0.13;0.51;8.32;52.72
Saint Kitts and Nevis;8.00;53192.00;15.03985561739;0.00;0.00;79.13;83.38;72.70;1017.30;0.21;0.73;10.29;69.97
Saint Lucia;13.00;183629.00;7.07949180140;0.00;0.00;81.34;86.20;74.51;1016.15;0.20;0.68;7.98;69.96
Saint Vincent and the Grenadines;10.00;110947.00;9.01331266280;0.00;0.00;80.89;86.62;75.80;1015.72;0.20;0.68;15.86;69.60
Senegal;175.00;16743930.00;1.04515487105;0.00;0.00;91.53;104.14;76.20;1009.46;0.05;0.14;31.32;34.58
Seychelles;10.00;98462.00;10.15620239280;0.00;0.00;84.52;90.36;78.75;1010.18;0.23;0.75;6.27;75.79
Sierra Leone;1.00;7976985.00;0.01253606469;0.00;0.00;83.32;87.25;78.92;1011.00;0.21;0.71;7.34;72.92
Somalia;5.00;15893219.00;0.03145995786;0.00;0.00;87.65;92.51;74.74;1014.33;0.20;0.63;12.57;72.02
Spain;95923.00;47351567.00;202.57618929486;8464.00;17.87;60.15;64.88;56.22;1017.73;0.19;0.75;5.98;51.67
Suriname;9.00;586634.00;1.53417633482;0.00;0.00;80.02;90.13;72.24;1013.53;0.22;0.76;5.93;71.59
Taiwan*;322.00;2360300.00;13.64233360166;5.00;0.21;72.59;79.90;66.71;1015.12;0.18;0.69;3.33;61.74
Thailand;1651.00;69799978.00;2.36533025841;10.00;0.01;87.93;100.96;76.00;1009.29;0.20;0.62;2.79;73.01
Timor-Leste;1.00;1318442.00;0.07584709832;0.00;0.00;82.91;88.75;76.54;1010.23;0.24;0.82;3.04;76.90
Trinidad and Tobago;87.00;1399491.00;6.21654587275;3.00;0.21;79.46;89.83;70.88;1014.04;0.20;0.70;6.28;68.72
Tunisia;394.00;11818618.00;3.33372311382;10.00;0.08;61.19;72.01;49.72;1015.18;0.14;0.56;9.66;44.22
United Arab Emirates;664.00;9890400.00;6.71358084607;6.00;0.06;75.07;84.33;67.68;1012.89;0.15;0.54;7.03;56.52
United Kingdom;25150.00;67215293.00;37.41708006837;1789.00;2.66;63.82;68.09;58.60;1016.24;0.22;0.74;10.33;55.11
Uruguay;338.00;3473727.00;9.73018317214;1.00;0.03;77.00;85.22;63.74;1014.60;0.17;0.61;6.52;62.17
Venezuela;135.00;28435943.00;0.47475126814;3.00;0.01;91.29;99.30;79.28;1009.26;0.15;0.44;7.58;66.65
